Product_Code,Brand_Name,Strength,Form
AVA-NS,Avamys Nasal Spray,27.5mcg/spray,Nasal Spray
ALP-E,Alphagan Eye Drop,0.2%,Eye Drops
PAT-E,Patanol Eye Drops,0.1%,Eye Drops
ACI-T,Acipep Chewable,"Alginic acid 400mg + Magnesium hydroxide 185mg + Aluminium hydroxide 195mg + Simethicone 25mg",Tablet
ACI-S,Acipep Suspension,"Aluminium hydroxide 200mg/5ml + Magnesium hydroxide 200mg/5ml + Simethicone 25mg/5ml",Suspension
AVR-S,Avrocid Suspension,"Aluminium hydroxide 200mg/5ml + Magnesium hydroxide 200mg/5ml + Simethicone 25mg/5ml",Suspension
